table,context
"{'column_header': ['born', 'sport_country', 'professional', 'highest_ranking'], 'row_number': [1, 1, 1, 1], 'content': ['20 may 1983 darwen, lancashire, england', 'england', '2002/2003, 2005/2006, 2010/2011', '78 [1][2]']}","justin astley (born 20 may 1983) is an english former professional snooker player. he played on challenge tour in 2001/02, and first qualified for the main tour in 2002/03, but lost his place. then he played on challenge tour again from 2003 to 2005. he returned for the 2005/2006 season, but he couldn't defend his place. in the 2009–10 season he reached the finals of the last two events of the international open series and was ranked seventh in the 2009/2010 pios rankings. as a result, astley qualified for the 2010/2011 professional main tour, but dropped off at the end of the season. justin astley (born 20 may 1983) is an english former professional snooker player. he played on challenge tour in 2001/02, and first qualified for the main tour in 2002/03, but lost his place. then he played on challenge tour again from 2003 to 2005. he returned for the 2005/2006 season, but he couldn't defend his place. in the 2009–10 season he reached the finals of the last two events of the international open series and was ranked seventh in the 2009/2010 pios rankings. as a result, astley qualified for the 2010/2011 professional main tour, but dropped off at the end of the season."
"{'column_header': ['date_of_birth', 'place_of_birth', 'height', 'position(s)', 'years', '2008/2014', '2015', '2016', '2017', '2018/2019'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['march 2, 1989', 'guiyang, guizhou, china', '1.88xa0m', 'defender', 'team', 'apps', '', 'guizhou zhicheng', '58', '']}","in 2008, tang yuan started his professional footballer career with guizhou zhicheng in the china league two. on 8 january 2015, tang moved to chinese super league side guizhou renhe on a free transfer. on 17 may 2015, tang made his debut for guizhou renhe in the 2015 chinese super league against shanghai shenhua, coming on as a substitute for zhang chenglin in the 94th minute. in march 2016, tang transferred to china league two side yinchuan helanshan. in february 2017, tang transferred to fellow league two side chengdu qbao. in march 2016, tang transferred to china league two side yinchuan helanshan. in february 2017, tang transferred to fellow league two side chengdu qbao."
"{'column_header': ['full_name', 'date_of_birth', 'place_of_birth', 'height', 'position(s)', 'current_team', '', '2010', '2011', 'years', '2012/2014', '2013', '2014/2016', '2016/2018', '2018/2020', '2021', '2022/2024', '2024', '2010/2011'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['jacob steven melling', '4 april 1995', 'adelaide, australia', '1.74xa0m', 'defensive midfielder', 'terrigal united', 'modbury jets', 'sasi', 'ais', 'team', 'apps', '', 'adelaide united', '9', '', 'para hills knights', '8', '', 'melbourne city']}","jacob melling (born 4 april 1995) is an australian professional soccer player who plays as a defensive midfielder for charlestown azzurri. melling attended saint paul's college, gilles plains. he was raised through the south australian youth football setups of modbury jets and then the south australian sports institute football program (sasi) before playing a key part in the south australian side's championship win in the ffa state institute challenge in 2010. melling was named player of the tournament, and was offered a scholarship to the australian institute of sport football program where he then went on to form a mainstay in the heart of the joeys midfield.[citation needed] melling attended saint paul's college, gilles plains. he was raised through the south australian youth football setups of modbury jets and then the south australian sports institute football program (sasi) before playing a key part in the south australian side's championship win in the ffa state institute challenge in 2010. melling was named player of the tournament, and was offered a scholarship to the australian institute of sport football program where he then went on to form a mainstay in the heart of the joeys midfield.[citation needed] on 18 march 2011, it was announced that adelaide united had signed melling on for his first professional club contract from the start of 2012. on 18 march 2011, it was announced that adelaide united had signed melling on for his first professional club contract from the start of 2012. melling made his first team debut as a 78th minute substitution in the round 14 match against melbourne heart. on 15 march 2013, melling was granted permission to be listed with two clubs so until the end of the end of the 2012–13 season melling was listed with both adelaide united and para hills knights. he recorded 8 appearances with para hills knights. on 15 march 2013, melling was granted permission to be listed with two clubs so until the end of the end of the 2012–13 season melling was listed with both adelaide united and para hills knights. he recorded 8 appearances with para hills knights. on 20 may 2014 it was announced that melling joined melbourne city alongside two other youth players, connor chapman and james brown. on 12 august 2016, melling joined western sydney wanderers on a two-year deal together with teammate jack clisby. on 2 january 2018, he was released by western sydney wanderers. one day after leaving western sydney wanderers, melling joined central coast mariners on a half-year deal. melling was released by the mariners in september 2020 at the end of the 2019–20 a-league."
"{'column_header': ['fullxa0name', 'date_of_birth', 'original_team(s)', 'draft', 'years', '2013/2014', '2015/2018', 'total'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1], 'content': ['shane biggs', '5 august 1991', 'bendigo', 'no. 13, 2012 rookie draft', 'club', 'games', 'sydney', '06']}","shane biggs (born 5 august 1991) is a former australian rules footballer who played for the sydney swans and the western bulldogs in the australian football league (afl). he was originally recruited by the sydney swans from the bendigo football club in the victorian football league (vfl) with the 13th selection in the 2012 rookie draft. biggs did not play in the tac cup competition, the traditional pathway into the afl for victorians."
"{'column_header': ['full_name', 'born', 'height', 'weight', 'sporting_nationality', 'turned_professional', 'current_tour(s)', 'former_tour(s)', 'professional_wins', 'highest_ranking', 'pga_tour_of_australasia', 'korn_ferry_tour', 'other', 'masters_tournament', 'pga_championship', 'u.s._open', 'the_open_championship'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['andrew nicholas buckle', '24 september 1982 brisbane, queensland', '5xa0ft 9xa0in', '180xa0lb', 'australia', '2002', 'pga tour of australasia', 'pga tourasian tournationwide tourgateway tour', '3', '79 [1]', '1', '1', '1', 'dnp', 'cut: 2006', 'cut: 2007', 't61: 2006']}","andrew nicholas buckle (born 24 september 1982) is an australian professional golfer. buckle was born in brisbane, queensland. he had a promising amateur career, including two wins in the boy's 15–17 division at the world junior golf championships and the australian amateur."
"{'column_header': ['nationality', 'born', 'sport'], 'row_number': [1, 1, 1], 'content': ['argentine', '23 september 1947', 'wrestling']}",carlos braconi (born 23 september 1947) is an argentine wrestler. he competed in two events at the 1976 summer olympics. this biographical article relating to an argentine sport wrestler or wrestling coach is a stub. you can help wikipedia by expanding it.
"{'column_header': ['president', 'preceded_by', 'succeeded_by', 'born', 'education'], 'row_number': [1, 1, 1, 1, 1], 'content': ['mahmoud abbas', 'walid muaqqat', 'riyad alhalabi', 'january 1, 1960 aqabat jaber, jericho governorate, jordanian west bank', 'university of havana']}","husni muhammad ahmed abdel wahed (arabic: حسني محمد أحمد عبد الواحد; born january 1, 1960) is a palestinian journalist, politician and diplomat. he served as the ambassador of the state of palestine to argentina from 5 march 2015 until december 2021. he currently holds the position of ambassador of the state of palestine to the kingdom of spain. hosni abdel wahed was born on 1st january 1960, in aqabat jaber camp in jericho governorate, east of the west bank, to a palestinian family displaced by the nakba from the village of al-tira, near the city of lod. after the events of the six day war in 1967, his family immigrated to another camp in jordan, where he finished his school education. he left for bulgaria where he obtained a diploma in social sciences, then to cuba where he obtained bachelor's and master's degrees in journalism from the university of havana. hosni abdel wahed was born on 1st january 1960, in aqabat jaber camp in jericho governorate, east of the west bank, to a palestinian family displaced by the nakba from the village of al-tira, near the city of lod. after the events of the six day war in 1967, his family immigrated to another camp in jordan, where he finished his school education. he left for bulgaria where he obtained a diploma in social sciences, then to cuba where he obtained bachelor's and master's degrees in journalism from the university of havana. abdel wahed worked as a journalist for balsam magazine. he also worked as a coordinator of arab culture for a few years in santiago, and then as an advisor to the education department of the palestine liberation organization."
"{'column_header': ['full_name', 'date_of_birth', 'place_of_birth', 'height', 'position(s)', 'current_team', '', 'years', '2008', '2009', '2010', '2011', '2011/2012', '2012', '2013', '2014', '2014/2015', '2015/2016', '2016', '2017/2018', '2019', '2020', '2021', '2022/2023', '2023', '2024'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['maikel daniel costa', '5 april 1988', 'piracicaba, brazil', '1.83xa0m', 'attacking midfielder', 'xv de piracicaba', 'xv de piracicaba', 'team', '', '2', 'amrica-sp', '3', '', '0', '', 'taquaritinga', '10', '', 'ponte preta', '8', '', '5', '20', '', '3', '']}","maikel daniel costa (born 5 april 1988), known as daniel costa, is a brazilian footballer who plays as an attacking midfielder for xv de piracicaba. born in piracicaba, são paulo, daniel costa was a youth product of hometown side xv de piracicaba. in 2008, he played for ituano and américa-sp. born in piracicaba, são paulo, daniel costa was a youth product of hometown side xv de piracicaba. in 2008, he played for ituano and américa-sp. after representing botafogo-sp and taquaritinga during the 2009, daniel costa moved to ponte preta ahead of the 2010 campaign. after featuring sparingly, he returned to botafogo for the série d. after representing botafogo-sp and taquaritinga during the 2009, daniel costa moved to ponte preta ahead of the 2010 campaign. after featuring sparingly, he returned to botafogo for the série d. after representing botafogo-sp and taquaritinga during the 2009, daniel costa moved to ponte preta ahead of the 2010 campaign. after featuring sparingly, he returned to botafogo for the série d. after playing for catanduvense, comercial-sp, américa and rio branco-sp, all in his native state, daniel costa agreed to join treze in december 2012. he scored ten goals in the 2013 campeonato paraibano, but his side finished second. after playing for catanduvense, comercial-sp, américa and rio branco-sp, all in his native state, daniel costa agreed to join treze in december 2012. he scored ten goals in the 2013 campeonato paraibano, but his side finished second. after playing for catanduvense, comercial-sp, américa and rio branco-sp, all in his native state, daniel costa agreed to join treze in december 2012. he scored ten goals in the 2013 campeonato paraibano, but his side finished second. in november 2013, daniel costa moved to csa. a regular starter, he signed for américa de natal the following 26 march, as a request of manager oliveira canindé. in november 2013, daniel costa moved to csa. a regular starter, he signed for américa de natal the following 26 march, as a request of manager oliveira canindé. daniel costa left américa on 20 may 2015, and joined santa cruz the following day. on 23 december, after scoring seven goals as the club achieved promotion to the série a, he renewed his contract. daniel costa made his top tier debut on 13 june 2016, coming on as a second-half substitute for fernando gabriel in a 2–0 home loss against santos. he left santa in july, and moved to turkish side bandırmaspor shortly after. daniel costa made his top tier debut on 13 june 2016, coming on as a second-half substitute for fernando gabriel in a 2–0 home loss against santos. he left santa in july, and moved to turkish side bandırmaspor shortly after. daniel costa returned to his home country and csa on 7 february 2017, and was a first-choice as the club achieved two consecutive promotions. on 17 december 2018, however, he moved to criciúma. on 8 january 2020, daniel costa was announced as the new signing of xv de piracicaba, his first club. he joined manaus in the third division on 3 october, but returned to his native state the following 4 january, after agreeing to a deal with são bento. on 8 january 2020, daniel costa was announced as the new signing of xv de piracicaba, his first club. he joined manaus in the third division on 3 october, but returned to his native state the following 4 january, after agreeing to a deal with são bento. on 26 may 2021, daniel costa joined sampaio corrêa in the second level. he returned to manaus on 8 september, but moved to portuguesa on 14 december. on 26 may 2021, daniel costa joined sampaio corrêa in the second level. he returned to manaus on 8 september, but moved to portuguesa on 14 december. américa de natal santa cruz csa portuguesa individual"
"{'column_header': ['appointed_by', 'preceded_by', 'born', 'education'], 'row_number': [1, 1, 1, 1], 'content': ['joe biden', 'benjamin settle', '1985 lansing, michigan, u.s.', 'stanford university']}","tiffany mae cartwright (born 1985) is a united states district judge of the united states district court for the western district of washington. cartwright was born in lansing, michigan, and grew up in kitsap county. she earned a bachelor of arts from stanford university in 2007, where she was elected to phi beta kappa, and a juris doctor from stanford law school in 2010, where she was a member of the stanford supreme court litigation clinic. she was co-editor in chief of stanford law & policy review in 2009 and 2010. during law school, cartwright worked at the federal public defender office in seattle and at the united states department of justice public integrity unit. she also worked as a research assistant for michael w. mcconnell."
"{'column_header': ['born', 'occupation', 'genre', 'notable_works'], 'row_number': [1, 1, 1, 1], 'content': ['november 5, 1975 carmichael, california, u.s.', 'author', 'multiple sclerosis health advocacy', 'coffee in the cereal: the first year with multiple sclerosis, phone in the fridge: five years with multiple sclerosis']}","lorna jean moorhead (born november 5, 1975) is an american author, health columnist and health advocate. she is one of the first writers on the subject of women's health issues pertaining to multiple sclerosis. moorhead was born in carmichael, california. her mother served as a member of the california state assembly."
"{'column_header': ['born', 'height', 'weight'], 'row_number': [1, 1, 1], 'content': ['june 15, 1994 north york, ontario, canada', '160xa0cm [1]', '61xa0kg [1]']}","khamica bingham (born june 15, 1994) is a canadian track and field athlete who specialises in the 100 metres. she has represented canada at the pan american games, commonwealth games and the world championships in athletics. bingham was born on june 15, 1994, in north york, ontario. as a high schooler, she attended heart lake secondary school. originally a national-level gymnast, she switched to track due to the financial burden to her family of staying in her first sport."
"{'column_header': ['born', 'occupation', 'yearsxa0active'], 'row_number': [1, 1, 1], 'content': ['new york city, new york', 'actress', '1977present']}",santiago was born in new york city to a puerto rican mother and mexican father and attended juilliard. initially she began her career as a dancer in dance troupe before moving into acting. she made her acting debut in the 1977 off-broadway play crack and her broadway debut in the 1980 play the bacchae.
"{'column_header': ['birth_name', 'born', 'genres', 'occupation(s)', 'instrument(s)', 'years_active', 'labels', 'website'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1], 'content': ['hope defteros', '1999 or 2000 brisbane, queensland, australia', 'indie popindie rock', 'singersongwritermusician', 'vocalsguitar', '2019present', 'select music[1]', 'www.hopedmusic.com']}","hope defteros (born 1999/2000), known professionally as hope d, is an australian singer-songwriter and musician from brisbane. winning queensland music awards in 2020 and 2021, she has released one ep – cash only (2021), and one studio album – clash of the substance (2023)."
"{'column_header': ['nationality', 'born', 'sport'], 'row_number': [1, 1, 1], 'content': ['panamanian', '26 september 1964', 'wrestling']}",arturo oporta (born 26 september 1964) is a panamanian wrestler. he competed in the men's freestyle 62 kg at the 1988 summer olympics. this biographical article relating to a panamanian sport wrestler or wrestling coach is a stub. you can help wikipedia by expanding it.
"{'column_header': ['preceded_by', 'succeeded_by', 'born', 'political_party', 'spouse', 'residence(s)', 'profession', 'portfolio', 'website'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['grant mcnally', 'dan ruimy', 'august 30, 1953 salmon arm, british columbia, canada', 'conservative', 'ruth kamp', 'maple ridge, bc', 'manager, executive assistant', 'parliamentary secretary to the minister of fisheries and oceans', 'http://www.randykamp.com']}","randy kamp (born august 30, 1953) is a canadian politician based in british columbia. he was a conservative member of parliament from 2004 to 2015. born in salmon arm, british columbia, kamp grew up in maple ridge, british columbia and graduated from maple ridge secondary school in 1971. he studied at simon fraser university in theology and earned a bachelor of arts. he then studied linguistics at the graduate level."
"{'column_header': ['nationality', 'born', 'sport'], 'row_number': [1, 1, 1], 'content': ['german', '25 june 1971 marienberg, east germany', 'cross-country skiing']}",janko neuber (born 25 june 1971) is a german former cross-country skier. he competed at the 1992 winter olympics and the 1994 winter olympics.
"{'column_header': ['fullxa0name', 'nickname(s)', 'nationality', 'born', 'height', 'sport', 'strokes', 'club'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1], 'content': ['massimiliano rosolino', 'massi, max', 'italy', '11 july 1978 naples, campania, italy', '1.92xa0m', 'swimming', 'freestyle and medley', 'larus nuoto, roma']}","massimiliano ""massi"" rosolino (born 11 july 1978) is an italian retired competitive swimmer. born in naples to an italian father, salvatore, and an australian mother, carolyn, he moved to australia at the age of three, coming back to italy at six. rosolino declared about his beginnings as a swimmer: in 2002 he moved back to australia to train with coach ian pope at the melbourne vicentre club."
"{'column_header': ['born', 'education', 'occupation(s)', 'spouse'], 'row_number': [1, 1, 1, 1], 'content': ['jean ann legrand[1] april 20, 1960 long beach, california, u.s.', 'university of southern california southwestern law school', 'lawyer, television anchor and legal correspondent, singer', 'john casarez']}","jean ann legrand-casarez (née legrand; born april 20, 1960) is an american lawyer and news correspondent for cnn and its sister network hln. she formerly worked for trutv until that network eliminated daytime trial coverage. as a correspondent for court tv/trutv, casarez provided live daytime trial coverage, reporting on courtroom trials across the country; she covered such cases as the coral eugene watts trial, the kobe bryant rape case, and scott peterson sentencing hearings. she was an anchor for court tv's hourly newsbreak. in addition to her current work for cnn, she is occasionally a substitute host for hln's current affairs show, primetime justice."
"{'column_header': ['born'], 'row_number': [1], 'content': ['los angeles, california, united states']}","melvino garretti (born 1946) is an american multidisciplinary artist who works in ceramics, painting, and performance. his visual works are known for their recognizable abstract motif, which often includes a variety of colorful emblematic shapes, and symbols. he is an original member of the studio watts workshop art collective, and a 1978 mfa graduate of san francisco art institute. melvino garretti was born in los angeles. while he was at an early age his family moved to compton. in 1967, melvino garretti joined the nearby studio watts workshop. although, originally a painter, the workshop introduced him to ceramics through two years of rigorous work at great barrington pottery, the pottery shop of richard bennett in the berkshire mountains of massachusetts. there he received lessons in japanese techniques and philosophy of production, and fired pottery within an authentic wood-burning kiln. after this focus in ceramics, garretti moved to san francisco, where he studied as a painter under julius hatofsky at san francisco art institute."
"{'column_header': ['countryxa0(sports)', 'born', 'prize_money', 'careerxa0record', 'highestxa0ranking', 'careerxa0titles'], 'row_number': [1, 1, 1, 1, 1, 1], 'content': ['indonesia', '11 november 1974', '$20,576', '4255', 'no. 335', '1 itf']}",mimma chernovita (born 11 november 1974) is an indonesian former professional tennis player.
"{'column_header': ['born', 'political_party'], 'row_number': [1, 1], 'content': ['23 january 1961', 'golden dawn']}","lampros fountoulis (greek: λάμπρος φουντούλης; born 23 january 1961) is a greek politician, representing the far right golden dawn party. he was a member of the european parliament (mep) from greece from 2014 until 2019."
"{'column_header': ['full_name', 'birth_name', 'date_of_birth', 'place_of_birth', 'position(s)', 'years', '', '2000/2003', '2003/2004', '2004', '2005/2014', '2015', '2004/2013'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['natalia shlyapina', 'natalia mokshanova', '13 july 1983', 'soviet union', 'striker', 'team', 'apps', '', 'nika moscow', '', '', 'snezhana lyubertsy', '']}","natalia shlyapina (née mokshanova; born 13 july 1983) is a former russian football forward, who played for rossiyanka in the russian championship. before signing for rossiyanka in 2005 she was a mini football and futsal player. she is a member of the russian national team. this biographical article related to women's association football in russia is a stub. you can help wikipedia by expanding it."
"{'column_header': ['title', 'team', 'conference', 'born', 'almaxa0mater', '2001/2005', '2003/2005', '2005/2008', '2008/2014', '2014/2015', '2015/2021'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['head coach', 'illinois', 'big ten', '1978limassol, cyprus', 'aristotle university', 'greek national team', 'nebraska omaha', 'boise state', 'georgia', 'georgia', 'georgia']}","petros kyprianou (born limassol, cyprus) is the current director of track & field and cross country at the university of illinois and the former head coach of the university of georgia bulldogs men's and women's track and field teams (jumps, decathlon and heptathlon). kyprianou was voted the united states track & field/cc coaches association 2018 indoor & outdoor national coach of the year following two historic first ncaa team titles for the university of georgia track and field (women indoor & men outdoor). additionally, kyprianou was the 2017 outdoor national women's coach of the year following a very close ncaa runner up finish to oregon (1.8 points). the bulldogs have amassed 12 top 4 ncaa finishes the last five seasons. petros kyprianou (born limassol, cyprus) is the current director of track & field and cross country at the university of illinois and the former head coach of the university of georgia bulldogs men's and women's track and field teams (jumps, decathlon and heptathlon). kyprianou was voted the united states track & field/cc coaches association 2018 indoor & outdoor national coach of the year following two historic first ncaa team titles for the university of georgia track and field (women indoor & men outdoor). additionally, kyprianou was the 2017 outdoor national women's coach of the year following a very close ncaa runner up finish to oregon (1.8 points). the bulldogs have amassed 12 top 4 ncaa finishes the last five seasons. petros kyprianou (born limassol, cyprus) is the current director of track & field and cross country at the university of illinois and the former head coach of the university of georgia bulldogs men's and women's track and field teams (jumps, decathlon and heptathlon). kyprianou was voted the united states track & field/cc coaches association 2018 indoor & outdoor national coach of the year following two historic first ncaa team titles for the university of georgia track and field (women indoor & men outdoor). additionally, kyprianou was the 2017 outdoor national women's coach of the year following a very close ncaa runner up finish to oregon (1.8 points). the bulldogs have amassed 12 top 4 ncaa finishes the last five seasons. kyprianou has served as an olympic coach for four different olympic national teams in the last three olympic games.[citation needed]"
"{'column_header': ['born', 'education', 'dances'], 'row_number': [1, 1, 1], 'content': ['2000 springville, utah, u.s.', 'springville high school', 'contemporary, acro, ballroom']}","charity anderson reid (born 2000) is an american dancer. she specializes in contemporary and acro dance. she and partner andres peñate competed on season 2 of world of dance in 2018, becoming the first in the show's history to score a perfect 100 on a routine. charity anderson was born and raised in springville, utah. she is the daughter of wylie and tresa anderson and has nine brothers and sisters. she is a member of the church of jesus christ of latter-day saints. her mother studied dance at brigham young university and opened a small dance studio in her home in 1996. as of 2014, her mother's charisma dance studio employed 14 instructors and had 300 students. charity and five of her 10 siblings dance competitively."
"{'column_header': ['full_name', 'born', 'nationality'], 'row_number': [1, 1, 1], 'content': ['michael barry lenard', 'may 20, 1955chicago', 'united states']}","michael barry lenard oly (born may 20, 1955 in chicago) is an american former handball player who competed in the 1984 summer olympics. lenard is the vice president of the international council of arbitration for sport, having joined the organisation in 1994. in 2017 the us olympic committee (usoc) bestowed their highest honour on him, an olympic torch award. lenard has served for the usoc a member and then vice-chair of the usoc athletes’ advisory committee, as the vice-president of the organisation."
"{'column_header': ['full_name', 'date_of_birth', 'place_of_birth', 'position(s)', 'years', '1968'], 'row_number': [1, 1, 1, 1, 1, 1], 'content': ['thomas joseph doyle', '9 june 1944', 'castleisland, county kerry, ireland', 'flanker', 'team', 'apps']}","a flanker, doyle played for dublin club wanderers and was capped three times for ireland in the 1968 five nations championship. he took the place of his brother mick, who was unavailable due to business commitments."
"{'column_header': ['full_name', 'date_of_birth', 'place_of_birth', 'height', 'position(s)', '', 'years', '2006/2010', '2008', '2009', '2011/2012', '2013', '2014/2015', '2015', '2016', '2016/2017', '2017', '2018', '2019/2021', '2021'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['juan camilo prez saldarriaga', 'october 26, 1985', 'medelln, antioquia, colombia', '1.79xa0m', 'centre-back[1]', 'atltico nacional', 'team', 'apps', '', 'atltico nacional', '', '', 'envigado', '', '', 'la equidad', '9', 'envigado', '47', '']}","juan camilo pérez saldarriaga (born october 26, 1985) is a colombian footballer. this biographical article related to a football defender from colombia is a stub. you can help wikipedia by expanding it."
"{'column_header': ['birth_name', 'born', 'origin', 'genres', 'occupation(s)'], 'row_number': [1, 1, 1, 1, 1], 'content': ['kari rose johnson', 'june 11, 1992', 'little rock, arkansas, u.s.', 'hip hopnr&bnpop', 'rappersingersongwriterrecord producer']}","kari rose johnson (born june 11, 1992) better known by her stage name kari faux, is an american rapper from little rock, arkansas. she is best known for her flamboyant dress, and conversational style of rap. her songs are most commonly characterized as ""internet rap"" with repetitive hooks, minimal production, and an emphasis on clever wordplay. faux was born june 11, 1992, to a single teenage mother. she was adopted by a couple that had a 10-year-old son, and raised in little rock, arkansas. her father worked for the skippy peanut butter factory in little rock, and her mother was a minister."
"{'column_header': ['born', 'height', 'weight', 'currentxa0team', 'role', 'riderxa0type'], 'row_number': [1, 1, 1, 1, 1, 1], 'content': ['4 june 1988 nelson, british columbia canada', '5xa0ft 10xa0in', '135xa0lb', 'fox racing', 'freestyle', 'slopestyle, freeride']}","kurt sorge is a freeride mountain biker from nelson, british columbia, canada, born on 28 november 1988."
"{'column_header': ['born', 'almaxa0mater', 'occupation(s)', 'spouse', 'children', 'website'], 'row_number': [1, 1, 1, 1, 1, 1], 'content': ['30 may 1966 damascus, syria', 'university of wisconsinstevens point', 'author, activist and thinker', 'khawla yusuf', 'oula and mouhanad', 'ammarabdulhamid.com syrian revolution digest']}","ammar abdulhamid (arabic: عمار عبد الحميد; born 30 may 1966) is a syrian-born author, human rights activist, political dissident, co-founder and president of the tharwa foundation. ammar was featured in the arabic version of newsweek magazine as one of 43 people making a difference in the arab world in may 2005. abdulhamid was born on 30 may 1966, to syrian actress muna wassef and the late syrian filmmaker muhammad shahin in damascus, syria. adbulhamid and yusuf fled damascus in september 2005, after calling for the overthrow of the assad government. they currently live in washington, d.c., with their two children oula (1986) and mouhanad (1990) awaiting political asylum in the united states. oula works at the washington institute for near east policy and writes regularly. mouhanad has recently joined the international medical corps team."
"{'column_header': ['born', 'nationality', 'otherxa0names', 'almaxa0mater', 'occupation(s)', 'yearsxa0active', 'notable_work', 'spouse(s)', 'children', 'parent(s)', 'awards', 'traditionalxa0chinese', 'simplified_chinese', 'hanyu_pinyin', 'chinese'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['hu yinyin 21 april 1953 taichung, taiwan', 'taiwanese', 'hu yinyin hu yinmeng', 'fu jen catholic university', 'actress, writer, translator', '1975present', 'the life god far away from home a teacher of great soldiers', 'li ao', '1', 'hu gengnianqu shifang', 'golden horse award for best supporting actress 1977 far away from home', '', '', 'h ynz', '']}","terry hu (chinese: 胡因夢; pinyin: hū yīnmèng; born 21 april 1953) is a taiwanese actress, writer and translator. terry hu (chinese: 胡因夢; pinyin: hū yīnmèng; born 21 april 1953) is a taiwanese actress, writer and translator. hu was born hu yinyin in taichung, taiwan on april 21, 1953, with her ancestral home in shenyang, liaoning, the only daughter of qu shifang (璩詩芳), and hu gengnian (胡賡年), a member of the legislative yuan of the republic of china. hu was raised in taichung and taipei. when she was 15, her parents divorced.  in 2003, hu attended the 40th golden horse awards."
"{'column_header': ['born', 'occupation(s)'], 'row_number': [1, 1], 'content': ['12 june 1961 lucknow, uttar pradesh, india', 'film-maker, director, producer, scriptwriter, cameraman']}","sunil batta (born 12 june 1961) is an indian film director, producer, scriptwriter and cameraman."
"{'column_header': ['nationality', 'born', 'country', 'sport', 'club'], 'row_number': [1, 1, 1, 1, 1], 'content': ['italian', '30 july 1997 rome', 'italy', 'fencing', 'g.s. fiamme gialle']}","guillaume bianchi (born 30 july 1997) is an italian fencer who won an individual silver medal and a team gold at the 2019 summer universiade. born in rome, he currently lives in frascati where he trains at frascati scherma. he is studying at sapienza university of rome. as a junior, he won individual bronze medal at the 2017 junior and cadet world fencing championships. he competed at the 2017–18 fencing world cup."
"{'column_header': ['born', 'nationality', 'occupation(s)', 'yearsxa0active'], 'row_number': [1, 1, 1, 1], 'content': ['30 july 1971 balrampur, uttar pradesh, india', 'indian', 'film directoreditorproducer', '2008present']}","singh was born in balrampur, up. before venturing into film direction, singh worked as a film editor in films like a wednesday (2008), special 26 (2013), m.s. dhoni: the untold story (2016) and rustom (2016). he started his career as an editor for don muthu swami and as a director in yeh jo mohabbat hai."
"{'column_header': ['born', 'almaxa0mater', 'occupations', 'yearsxa0active', 'partner(s)', 'genres', 'labels', 'traditionalxa0chinese', 'simplified_chinese', 'hanyu_pinyin', 'jyutping'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['29 december 1959 british hong kong', 'moral training english college peking university', 'actorsingerbusinessman', '1981/2013 2013present', 'may chin anita lee', 'cantopopmandopop', 'sony music polygram', '', '', 'h jijn', 'ho4 gaa1-ging3']}","kenny ho kar-king (born 29 december 1959) is a hong kong actor and singer. he was best known for his role as zhan zhao in the taiwanese and mainland chinese television series justice bao from 1993 to 2012, and is also known for his roles in master ma and super hero. ho is currently a businessman. ho was born in british hong kong on 29 december 1959. he had an elder brother and sister. ho's parents had since divorced. ho wanted to be a football player at the university but he failed to qualify for the role. he also studied acting at beijing university before joining the shaw brothers."
