table,context
"{'column_header': ['born', 'alma\xa0mater', 'occupation', 'employer', 'relatives'], 'row_number': [1, 1, 1, 1, 1], 'content': ['(1975-07-12) July 12, 1975 (age\xa048)Phoenix, Arizona, U.S.', 'Georgetown University (B.A.)', 'Journalist', 'Newsy', 'Jarrett Bellini (brother)']}","Jason Bellini (born July 12, 1975)[1] is an American journalist. Since 2012, he has been a correspondent for The Wall Street Journal.[2] Bellini was a CNN correspondent from 1998 to 2005.
Bellini and his brother, Jarrett Bellini, were born and raised in Phoenix, Arizona. In 1992, Bellini became a U.S. Senate Page in Washington, D.C. The next year, Bellini graduated from Chaparral High School in Scottsdale, Arizona, where he worked on the school newspaper and became an Eagle Scout. In 1997, Bellini earned a bachelor's degree in history from Georgetown University."
"{'column_header': ['born', 'nationality', 'occupation', 'political_party'], 'row_number': [1, 1, 1, 1], 'content': ['(1955-07-01) 1 July 1955 (age\xa068)Iguala, Guerrero, Mexico', 'Mexican', 'Politician', 'PRD']}",Aarón Mastache Mondragón (born 1 July 1955) is a Mexican politician from the Party of the Democratic Revolution. In 2012 he served as Deputy of the LXI Legislature of the Mexican Congress representing the Federal District.[1]
"{'column_header': ['full_name', 'date_of_birth', 'position(s)', 'years', ''], 'row_number': [1, 1, 1, 1, 1], 'content': ['Manuel Martins da Souza', '(1941-02-05) 5 February 1941 (age\xa083)', 'Forward', 'Team', 'Apps']}","Manuel Martins da Souza (born 5 February 1941), known as Manuel, is a Brazilian former footballer.[1]

This biographical article related to a Brazilian association football forward born in the 1940s is a stub. You can help Wikipedia by expanding it."
"{'column_header': ['position', 'league', 'born', 'listed_height', 'listed_weight', 'high_school', 'college', 'nba_draft', 'playing_career', '2021', '2021–2022', '2022–2023', '2023–present'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['Shooting guard / point guard', 'CBA', '(1997-07-07) July 7, 1997 (age\xa026)Trenton, New Jersey, U.S.', '6\xa0ft 2\xa0in (1.88\xa0m)', '195\xa0lb (88\xa0kg)', 'Trenton Catholic Academy(Trenton, New Jersey)\nSouth Kent School(South Kent, Connecticut)', 'Seton Hall (2016–2020)', '2020: undrafted', '2021–present', 'Westchester Knicks', '→Delaware Blue Coats', 'Bay Area Dragons', 'Qingdao Eagles']}","Myles Blake Powell (born July 7, 1997) is an American professional basketball player for the Qingdao Eagles of the Chinese Basketball Association (CBA). He played college basketball for the Seton Hall Pirates.
Myles Blake Powell (born July 7, 1997) is an American professional basketball player for the Qingdao Eagles of the Chinese Basketball Association (CBA). He played college basketball for the Seton Hall Pirates.
In one of his most impressive performances, Powell scored 31 points against Big East rival Butler at the Prudential Center on January 9, 2019. After the game, Seton Hall coach Kevin Willard joked about Powell's performance, saying “We’ve kept it real simple — get the ball to Myles and get out of the way... That's a special play call towards the end of the game.”[4] During the season, Powell received national attention as a part of the Wooden Award mid season watch list.[5] Powell leads the Pirates in scoring[6] At the close of the season, Powell was named first-team All-Big East and won the Haggerty Award as the top college player in the New York City metro area.[7]
After going undrafted in the 2020 NBA draft, Powell signed with the New York Knicks on November 29, 2020.[19] In his preseason debut for the Knicks he totaled 2 points and 1 assist in 6 minutes.[20] He was waived on December 19,[21] and signed with the Knicks' NBA G League affiliate, the Westchester Knicks on January 21, 2021.[22] He played 13 games with Westchester and averaged 17.8 points on 44.6% from three, 3.3 rebounds and 4.0 assists.[23]
After going undrafted in the 2020 NBA draft, Powell signed with the New York Knicks on November 29, 2020.[19] In his preseason debut for the Knicks he totaled 2 points and 1 assist in 6 minutes.[20] He was waived on December 19,[21] and signed with the Knicks' NBA G League affiliate, the Westchester Knicks on January 21, 2021.[22] He played 13 games with Westchester and averaged 17.8 points on 44.6% from three, 3.3 rebounds and 4.0 assists.[23]
On April 23, 2021, Powell signed a two-way contract with New York,[23] but was waived the next day.[24] On October 12, the Knicks re-signed Powell,[25] and then waived him two days later.[26] Eleven days later, he re-signed with Westchester, where he appeared in one game.[27]
On December 19, 2021, Powell signed a two-way contract with his hometown team, the Philadelphia 76ers.[28] Powell, who was a childhood supporter of the Philadelphia 76ers and Allen Iverson, described ""having cried for the first 45 minutes"" after he realized he would join the Sixers.[29]
On July 27, 2022, Powell signed a contract with the Bay Area Dragons of the East Asia Super League.[30]
Powell has an older brother, Noel III. On November 14, 2017, Noel Powell III was involved in a murder at an Applebee's restaurant in Lawrenceville, New Jersey, for which he was sentenced to seven years in prison in 2021. During a media day in 2019, Myles Powell stitched a message into his jacket for Noel that said: “Free Big Nutty.”[32]
In July 2021, Myles Powell filed a lawsuit against his college team and alma mater, Seton Hall University. Filed in the New Jersey Superior Court, the lawsuit claimed Seton Hall University, its men's basketball coach, Kevin Willard, and its Director of Sports Medicine, Tony Testa, acted negligently by letting Powell play on a torn meniscus in his right knee, which he had been told was only a minor injury that would not be further injured if he continued to play during the 2019-20 season.[33] In August 2021, Seton Hall University filed to dismiss Powell's lawsuit.[34]
In July 2021, Myles Powell filed a lawsuit against his college team and alma mater, Seton Hall University. Filed in the New Jersey Superior Court, the lawsuit claimed Seton Hall University, its men's basketball coach, Kevin Willard, and its Director of Sports Medicine, Tony Testa, acted negligently by letting Powell play on a torn meniscus in his right knee, which he had been told was only a minor injury that would not be further injured if he continued to play during the 2019-20 season.[33] In August 2021, Seton Hall University filed to dismiss Powell's lawsuit.[34]"
"{'column_header': ['country_represented', 'born', 'discipline'], 'row_number': [1, 1, 1], 'content': ['Great Britain', '(1998-07-31) 31 July 1998 (age\xa025)', 'Acrobatic\xa0gymnastics']}","Millie Spalding (born 31 July 1998) is a British female acrobatic gymnast. With partners Georgia Lancaster and Elise Matthews, Spalding achieved gold in the 2014 Acrobatic Gymnastics World Championships.[1]"
"{'column_header': ['full\xa0name', 'nickname', 'born', 'home\xa0town', 'playing\xa0darts\xa0since', 'darts', 'laterality', 'walk-on_music', 'pdc', 'uk_open'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['Steffen Siepmann', 'Sippi', '(1986-09-16) 16 September 1986 (age\xa037)[1][2]Neustadt am Rübenberge, Germany', 'Ronnenberg', '2010', '23,7 Gram', 'Right-handed', '""Blade"" by KRS-One ft. Channel Live', '2010–', 'Last 96: 2020']}","Steffen Siepmann (born 16 September 1986) is a German professional darts player who currently playing in Professional Darts Corporation events.
Steffen Siepmann (born 16 September 1986) is a German professional darts player who currently playing in Professional Darts Corporation events.
Nicknamed ""Sippi"", Siepmann first qualified for a PDC European Tour in 2017, when he reached the third round of the 2017 German Darts Masters by defeating Andrew Gilding and Joe Cullen, before losing to Simon Whitlock. Later in the year he qualified for the 2017 European Darts Open, where he defeated Jermaine Wattimena, before losing to Stephen Bunting.
Nicknamed ""Sippi"", Siepmann first qualified for a PDC European Tour in 2017, when he reached the third round of the 2017 German Darts Masters by defeating Andrew Gilding and Joe Cullen, before losing to Simon Whitlock. Later in the year he qualified for the 2017 European Darts Open, where he defeated Jermaine Wattimena, before losing to Stephen Bunting.
Nicknamed ""Sippi"", Siepmann first qualified for a PDC European Tour in 2017, when he reached the third round of the 2017 German Darts Masters by defeating Andrew Gilding and Joe Cullen, before losing to Simon Whitlock. Later in the year he qualified for the 2017 European Darts Open, where he defeated Jermaine Wattimena, before losing to Stephen Bunting.
On 19 January 2020, Siepmann beat Wesley Harms 5–3 to win a two-year PDC Tour Card at European Q School. He will play on the PDC ProTour in 2020 and 2021.
This biographical article related to darts is a stub. You can help Wikipedia by expanding it."
"{'column_header': ['born'], 'row_number': [1], 'content': ['(2001-06-23) 23 June 2001 (age\xa022)']}","Ruan Cronje (born 23 June 2001) is a South African cricketer.[1] He made his first-class debut on 13 February 2020, for KwaZulu-Natal in the 2019–20 CSA 3-Day Provincial Cup.[2] He made his List A debut on 16 February 2020, for KwaZulu-Natal in the 2019–20 CSA Provincial One-Day Challenge.[3]
This biographical article related to a South African cricket person born in the 2000s is a stub. You can help Wikipedia by expanding it."
"{'column_header': ['born', 'ring_name(s)', 'billed_height', 'billed_weight', 'debut'], 'row_number': [1, 1, 1, 1, 1], 'content': ['(1961-11-08) November 8, 1961 (age\xa062)Moriguchi, Osaka, Japan', 'Isao TakagiArashi (II)Love Machine Storm', '1.90\xa0m (6\xa0ft 3\xa0in)', '146\xa0kg (322\xa0lb)', 'March 31, 1987']}","Isao Takagi (高木 功, Takagi Isao, born November 8, 1961) who goes by the ring name Arashi (嵐), is a Japanese professional wrestler from Moriguchi, Osaka Prefecture, who works for Dradition. He has previously worked for All Japan Pro Wrestling.[1][2]
Takagi was initially a sumo wrestler under the name of Takuetsuyama (previously Maenohikari). He joined Takadagawa stable, run by former ozeki Maenoyama, in 1977. He reached elite sekitori status upon promotion to the second highest jūryō division in July 1985, but was demoted back to the unsalaried makushita division after only four tournaments. In 1986, at the age of 24, he decided to quit sumo and joined All Japan Pro Wrestling (AJPW) upon an offer from owner Giant Baba. He made his debut in 1987. The same year he accompanied Baba to an excursion into Jim Crockett Promotions, where they competed in the Jim Crockett Sr. Memorial Cup Tag Team Tournament. They made it into the semifinals before being defeated by eventual runners-up Lex Luger and Tully Blanchard."
"{'column_header': ['full\xa0name', 'nationality', 'born', 'country', 'sport', 'event'], 'row_number': [1, 1, 1, 1, 1, 1], 'content': ['Vitaly Afanasevich Petrov', 'Ukrainian', '(1945-10-06) October 6, 1945 (age\xa078)Staline, Ukrainian SSR, Soviet Union', 'Ukraine', 'Athletics', 'Pole vault']}","Vitaly Afanasevich Petrov (Ukrainian: Віталій Опанасович Петров, Russian: Виталий Афанасьевич Петров; born 6 October 1945 in Donetsk, Soviet Union) is a Ukrainian athletics coach, mainly specialising in pole vault.[1] He was the coach of legendary pole vaulters, like Sergey Bubka, Yelena Isinbayeva and Giuseppe Gibilisco. All three were world champions, with the first two also winning Olympic gold medals and setting world records."
"{'column_header': ['born', 'nationality', 'listed_height', 'playing_career', 'position', 'coaching_career', '1985-1996', '1996-1997', '1997-1999', '1999', '1999-2000', '2002-2004', '2004-2006', '2006-2008', '2008-2009', '2012-2013', '2012-2016', '2016-2017'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['(1968-11-28) November 28, 1968 (age\xa055)Warsaw, Poland', 'Polish', '1.78\xa0m (5\xa0ft 10\xa0in)', '1985–2013', 'Shooting guard', '2012–2017', 'Polonia Warsaw', 'Olimpia Poznan', 'Polonia Warsaw', 'Lotos Gdynia', 'Polonia Warsaw', 'Wolomin', 'AZS Jelenia Gora', 'Lider Pruszkow', 'AZS Siedlce', 'Polonia Warsaw', 'Polonia Warsaw', 'One Team Ostrów Wielkopolski']}","Katarzyna Dulnik (born November 28, 1968) is a former Polish female professional basketball player."
"{'column_header': ['born', 'nationality', 'occupation', 'awards'], 'row_number': [1, 1, 1, 1], 'content': ['(1950-02-24) 24 February 1950 (age\xa074)', 'Norwegian', ""Children's writer"", 'Brage Prize']}",Torill Eide (born 24 February 1950) is a Norwegian children's writer.
"{'column_header': ['full\xa0name', 'born', 'height', 'weight', 'current\xa0team', 'discipline', 'role', 'rider\xa0type', '2001–2005', '2006', '2007–2009', '2011–2012', '2010', '2013–2014', '2015–2020', '2021–'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['Stéphane Rossetto', '(1987-04-06) 6 April 1987 (age\xa037)Melun, France', '180\xa0cm (5\xa0ft 11\xa0in)', '66\xa0kg (146\xa0lb)', 'St. Michel–Mavic–Auber93', 'Road', 'Rider', 'Climber', 'Peltrax–CS Dammarie-lès-Lys', 'US Créteil', 'CC Nogent-sur-Oise', 'CC Nogent-sur-Oise', 'Vacansoleil', 'BigMat–Auber 93', 'Cofidis[1][2]', 'St. Michel–Auber93']}","Stéphane Rossetto (born 6 April 1987 in Melun) is a French cyclist, who currently rides for UCI Continental team St. Michel–Mavic–Auber93.[3] He is notable for his long range final stage win from 115 kilometres (71 miles) out in the 2018 Tour de Yorkshire which also gave him the Mountains classification.[4] In July 2019, he was named in the startlist for the 2019 Tour de France.[5] In October 2020, he was named in the startlist for the 2020 Giro d'Italia.[6]"
"{'column_header': ['nationality', 'born', 'sport'], 'row_number': [1, 1, 1], 'content': ['British (English)', '(1979-08-02) 2 August 1979 (age\xa044)', 'boxing']}",Neil Perkins (born 2 August 1979 is a British former amateur boxer who has won medals in international tournaments at welterweight.
"{'column_header': ['full_name', 'date_of_birth', 'place_of_birth', 'height', 'position(s)', '2001–2003', 'years', '2004–2005', '2006', '2007', 'total'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['Takanori Maeda', '(1985-06-30) June 30, 1985 (age\xa038)', 'Higashiazai District, Shiga, Japan', '1.78\xa0m (5\xa0ft 10\xa0in)', 'Forward', 'Kusatsu Higashi High School', 'Team', 'Apps', '(Gls)', 'Shimizu S-Pulse', '0']}","Maeda was born in Higashiazai District, Shiga on June 30, 1985. After graduating from high school, he joined J1 League club Shimizu S-Pulse in 2004.[1] In 2006, he moved to S.League club Albirex Niigata Singapore. In 2007, he backed to Japan and joined MIO Biwako Kusatsu.
Maeda was born in Higashiazai District, Shiga on June 30, 1985. After graduating from high school, he joined J1 League club Shimizu S-Pulse in 2004.[1] In 2006, he moved to S.League club Albirex Niigata Singapore. In 2007, he backed to Japan and joined MIO Biwako Kusatsu."
"{'column_header': ['born', 'spouse', 'children', 'region', 'school', 'main_interests'], 'row_number': [1, 1, 1, 1, 1, 1], 'content': ['(1954-11-02) 2 November 1954 (age\xa069)Reading, Pennsylvania', 'Jennifer Wagner-Lawlor', 'Two', 'Western philosophy', 'Continental philosophy', 'Metaphysics, epistemology']}","Leonard ""Len"" Lawlor (/ˈlɔːlər/; born November 2, 1954)[1] is Edwin Erle Sparks Professor of Philosophy at Pennsylvania State University. He specializes in nineteenth- and twentieth-century Continental philosophy.[2]"
"{'column_header': ['birth\xa0name', 'nationality', 'born', 'height', 'weight', 'sport', 'event', 'club', 'personal_best'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['Jolanta Wójcik', 'Poland', '(1984-06-02) 2 June 1984 (age\xa039)Lipinki, Świecie County,Poland', '1.70\xa0m (5\xa0ft 7\xa0in)', '60\xa0kg (132\xa0lb)', 'Athletics', '4 × 400 metres relay', 'ULKS Technik Trzcinica', '400 m: 52.52 s (2008)']}","Jolanta Kajtoch (née Wójcik; born 2 June 1984 in Lipinki, Świecie County) is a Polish sprinter, who specialized in the 400 metres.[1] Wojcik competed for the women's 4 × 400 m relay at the 2008 Summer Olympics in Beijing, along with her teammates Grażyna Prokopek, Anna Jesień, and Monika Bejnar. She ran on the second leg of the first heat, with an individual-split time of 51.72 seconds. Wojcik and her team finished the relay in sixth place for a total time of 3:28.23, failing to advance into the final.[2]"
"{'column_header': ['born', 'nationality', 'occupation(s)', 'years\xa0active', 'partner', 'children'], 'row_number': [1, 1, 1, 1, 1, 1], 'content': ['Liv Anna Mjönes (1979-09-18) 18 September 1979 (age\xa044)Kista, Sweden', 'Swedish', 'Actress, dancer', '2000–present', 'Henrik Bäckbro', '2']}",Liv Anna Mjönes (born 18 September 1979) is a Swedish actress. In 1995 at the age of 16 she started studying dancing and acting. She graduated after four years of education at Stockholm Academy of Dramatic Arts in 2006. She is best known for her role as Frida in the Swedish film Kyss Mig.
"{'column_header': ['preceded_by', 'political_party', 'spouse', 'children', 'residence', 'alma_mater'], 'row_number': [1, 1, 1, 1, 1, 1], 'content': ['Mike Braun', 'Republican', 'Stacy', '2', 'Jasper, Indiana', 'Indiana State University (BS)Logan College of Chiropractic']}","Lindauer and his wife, Stacy, have two children and live in Jasper.[1]"
"{'column_header': ['born', 'height', 'weight', 'position', 'shoots', 'pwhl_teamformer_teams', 'national_team', 'playing_career'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1], 'content': ['(1999-06-30) June 30, 1999 (age\xa024)Saskatoon, Saskatchewan, Canada', '5\xa0ft 9\xa0in (175\xa0cm)', '140\xa0lb (64\xa0kg; 10\xa0st 0\xa0lb)', 'Forward', 'Right', 'PWHL BostonWisconsin Badgers (NCAA)Calgary Inferno (CWHL)', 'Canada', '2015–present']}","Sophie Shirley (born June 30, 1999) is a Canadian professional ice hockey player for PWHL Boston of the Professional Women's Hockey League (PWHL). She made her debut with the Canadian women's national team in a two-game exhibition series against the United States in December 2016.[1][2]"
"{'column_header': ['full_name', 'date_of_birth', 'place_of_birth', 'position(s)', 'years', '1968–1973', '1973', '1973–1974', '1974–1976', '1977'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['Ronald Sharp', '(1948-01-30) 30 January 1948 (age\xa076)', 'Scotland', 'Winger', 'Team', 'Apps', '(Gls)', 'Cowdenbeath', '47', '(12)']}","Born in Scotland, Sharp began his football career with junior side Glenrothes. The winger played part-time with Scottish Second Division side Cowdenbeath from 1968 to 1973.[1] Miami Toros' coach John Young scouted Sharp on a trip to Scotland, and he joined the NASL club in 1973.[2] During the off-season, Sharp and teammates Warren Archibald and Steve David joined Mexican side San Luis for five weeks of the 1973–74 Mexican Primera División season.[3]
Sharp returned to the Miami Toros for three more seasons before finishing his career with the Fort Lauderdale Strikers in 1977.[4] He was named to the 1975 NASL All-Star team.[5]"
"{'column_header': ['born', 'citizenship', 'spouse'], 'row_number': [1, 1, 1], 'content': ['India', 'U.S.', 'Bipasha Ghosh[1]']}","Aparisim ""Bobby"" Ghosh[2] is an Indian-born American journalist and commentator. He is a columnist and member of the editorial board at Bloomberg Opinion.[3][4]"
"{'column_header': ['born', 'height', 'weight', 'position', 'shot', 'played_for', 'nhl_draft', 'playing_career'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1], 'content': ['(1951-10-03) October 3, 1951 (age\xa072)Sudbury, Ontario, Canada', '5\xa0ft 11\xa0in (180\xa0cm)', '185\xa0lb (84\xa0kg; 13\xa0st 3\xa0lb)', 'Right wing', 'Right', 'WHANew York RaidersNew York Golden BladesJersey KnightsSan Diego MarinersIndianapolis RacersEdmonton Oilers', '50th overall, 1971Philadelphia Flyers', '1971–1977']}","Edward Wilson ""Ted"" Scharf (born October 3, 1951) is a Canadian former professional ice hockey player. He played 238 games in the WHA with the New York Raiders, New York Golden Blades, Jersey Knights, San Diego Mariners, Indianapolis Racers, and Edmonton Oilers.
This biographical article relating to a Canadian ice hockey winger born in the 1950s is a stub. You can help Wikipedia by expanding it."
"{'column_header': ['nationality', 'born', 'debut_season', 'starts', 'wins', 'poles', 'best_finish', '2006'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1], 'content': ['American', '(1986-10-09) October 9, 1986 (age\xa037)Noblesville, Indiana, U.S.', '2007', '13', '0', '0', '8th in 2007', 'Turkey Night Grand Prix']}","Billy Wease (born October 9, 1986 in Noblesville, Indiana) is a driver in USAC. He was a development driver for Penske Racing in the mid 2000s. Wease was also the 2006 Turkey Night Grand Prix winner,[1] and a four-time starter of the Little 500.
Billy Wease (born October 9, 1986 in Noblesville, Indiana) is a driver in USAC. He was a development driver for Penske Racing in the mid 2000s. Wease was also the 2006 Turkey Night Grand Prix winner,[1] and a four-time starter of the Little 500."
"{'column_header': ['full\xa0name', 'country\xa0(sports)', 'born', 'french\xa0open', 'wimbledon'], 'row_number': [1, 1, 1, 1, 1], 'content': ['Yolanda Mangadil-Soemarno', 'Indonesia', '(1946-07-30) 30 July 1946 (age\xa077)North Sulawesi,Dutch East Indies', 'Q2 (1975, 1977)', 'Q2 (1975, 1977)']}","Yolanda Mangadil-Soemarno (born 30 July 1946) is a former tennis player.[1]
Born in North Sulawesi, Soemarno played Federation Cup tennis for Indonesia between 1976 and 1981. She was the singles gold medalist at the 1977 Southeast Asian Games and won a team bronze medal at the 1978 Asian Games.[2]"
"{'column_header': ['born', 'height', 'weight', 'position', 'caught', 'played_for', 'national_team', 'nhl_draft', 'playing_career'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['(1984-02-29) February 29, 1984 (age\xa040)Saskatoon, Saskatchewan, Canada', '6\xa0ft 1\xa0in (185\xa0cm)', '185\xa0lb (84\xa0kg; 13\xa0st 3\xa0lb)', 'Goaltender', 'Left', 'Carolina HurricanesChicago Blackhawks', 'Canada', '25th overall, 2002Carolina Hurricanes', '2004–2019']}","Cameron Kenneth Ward (born February 29, 1984) is a Canadian former professional ice hockey goaltender. He played the majority of his 15-year professional career for the Carolina Hurricanes of the National Hockey League (NHL). He played for the Chicago Blackhawks during his final season before signing a one-day contract to officially retire as a Hurricane in 2019.[1]
Ward was born in Saskatoon, growing up there and in Sherwood Park, Alberta. During his three-year junior career in the Western Hockey League (WHL) with the Red Deer Rebels, he was selected 25th overall by the Hurricanes in the 2002 NHL Entry Draft. After a season with the Hurricanes' American Hockey League (AHL) affiliate, the Lowell Lock Monsters, he won the Stanley Cup with the Hurricanes in 2006, winning the Conn Smythe Trophy as the most valuable player in the playoffs. He became the first starting goaltender to win the Stanley Cup as a rookie since Patrick Roy in 1986.[2]
Born in St. Paul's Hospital in Saskatoon, Ward is the second child of Ken and Laurel Ward. He grew up in the Lakeridge neighbourhood of Saskatoon and the Edmonton suburb of Sherwood Park, Alberta, spending his adolescent years in the latter.[18][19]"
"{'column_header': ['born', 'discipline'], 'row_number': [1, 1], 'content': ['(1988-05-19) 19 May 1988 (age\xa035)Socialist Republic of Slovenia, SFR Yugoslavia', 'Road cycling']}",Petra Zrimšek (born 19 May 1988) is a road cyclist from Slovenia. She participated at the 2012 UCI Road World Championships.[1]
"{'column_header': ['nationality', 'born', 'sport', 'event'], 'row_number': [1, 1, 1, 1], 'content': ['French', '(1957-08-17) 17 August 1957 (age\xa066)Paris, France', 'Track and field', '400 metres hurdles']}",Gérard Brunel (born 17 August 1957) is a French hurdler. He competed in the men's 400 metres hurdles at the 1984 Summer Olympics.[1]
"{'column_header': ['born', 'nationality', 'political_party', 'residence', 'alma_mater', 'occupation', 'profession'], 'row_number': [1, 1, 1, 1, 1, 1, 1], 'content': ['(1949-09-17) 17 September 1949 (age\xa074)Pretoria, South Africa', 'Namibian', 'DTA', 'Windhoek', 'University of Pretoria', 'Politician', 'Farmer']}","Johan Claasen de Waal (born 17 September 1949 in Pretoria, South Africa) is a Namibian politician. A member of the Democratic Turnhalle Alliance (DTA), de Waal was a member of the National Assembly of Namibia from 1994 to 2010.[1] De Waal was placed third on DTA's electoral list ahead of the 2009 general election but lost his seat in the National Assembly after DTA received enough votes for 2 legislators.[2] He resigned as chairperson of DTA in March 2010, citing a need to ""move on"" and make way for a younger generation.[3] Since then he has focused on business operations.[4]
De Waal was born in September 1949 in South Africa, but moved with his family to Namibia in the same year of his birth. He received a B.Comm. from the University of Pretoria in 1971. In 1976, he was a founding member of the Democratic Turnhalle Alliance and Secretary of Information. He was a leading member of the Republican Party of Namibia, a member of the alliance, until it broke with the DTA in 2003. In that year, de Waal, Barbara Rattay and Pieter Boltman formed the Alliance for Democratic Change, which maintained links with DTA. In March 2005, the DTA re-elected de Waal as party chairperson.[5] While in the National Assembly, de Waal was the party's main spokesperson for trade and financial affairs.[3]"
"{'column_header': ['nickname(s)', 'born', 'nationality', 'sport', 'weapon', 'hand', 'head\xa0coach', 'fie\xa0ranking'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1], 'content': ['Calugi', '(1994-08-19) 19 August 1994 (age\xa029)', 'Chinese', 'Fencing', 'Foil', 'right-handed', 'Gregory Koenig', 'current ranking']}","Yeung Chi Ka (born 19 August 1994) is a right-handed Hong Kong foil fencer. He fences at the Hong Kong Sports Institute in Hong Kong, China. He is coached by Gregory Koenig of France.[1]
Yeung Chi Ka (born 19 August 1994) is a right-handed Hong Kong foil fencer. He fences at the Hong Kong Sports Institute in Hong Kong, China. He is coached by Gregory Koenig of France.[1]
Yeung Chi Ka (born 19 August 1994) is a right-handed Hong Kong foil fencer. He fences at the Hong Kong Sports Institute in Hong Kong, China. He is coached by Gregory Koenig of France.[1]"
"{'column_header': ['born', 'political_party', 'relations', 'education'], 'row_number': [1, 1, 1, 1], 'content': ['1972 or 1973 (age\xa050–51)Raleigh, North Carolina, U.S.', 'Republican', 'Brad Woodhouse (brother)', 'Campbell University (BA)North Carolina State University (MA)']}","Dallas Woodhouse (born May 10, 1973) is an American political operative active in North Carolina
In May 2023, Woodhouse was named the State Director of American Majority,
a national conservative political training organization.
Woodhouse was born in Raleigh, North Carolina. He received a Bachelor of Arts degree in mass communications from Campbell University in 1995 and a Master of Arts from North Carolina State University in 2005."
"{'column_header': ['born', 'height', 'weight', 'position', 'shot', 'played_for', 'nhl_draft', 'playing_career'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1], 'content': ['(1982-05-09) May 9, 1982 (age\xa041)Kirkland, Quebec, Canada', '5\xa0ft 11\xa0in (180\xa0cm)', '194\xa0lb (88\xa0kg; 13\xa0st 12\xa0lb)', 'Defence', 'Right', 'AHLHouston AerosQuad City FlamesMilwaukee AdmiralsECHLTexas WildcattersLas Vegas WranglersALHNippon Paper Cranes', 'Undrafted', '2006–2013']}","Mike Madill (born May 9, 1982) is a Canadian former professional ice hockey defenceman. He was formerly General Manager and Head Coach of the last professional team he played with, the Las Vegas Wranglers of the ECHL.[1]
This biographical article relating to a Canadian ice hockey defenceman born in the 1980s is a stub. You can help Wikipedia by expanding it."
"{'column_header': ['born', 'genres', 'instruments', 'years_active'], 'row_number': [1, 1, 1, 1], 'content': ['21 NovemberBarisal', 'Rabindra Sangeet', 'Vocals', '1966–present']}","Papia Sarwar (née Rahman, born on 21 November) is a Bangladeshi singer. She is an exponent of Rabindra Sangeet, the songs written and composed by Rabindranath Tagore. She earned Rabindra Award from Bangla Academy in 2013, Bangla Academy Fellowship in 2015 and Ekushey Padak in 2021.[1][2][3]
Sarwar was born in Dhaka. She took music lessons from Atiqul Islam, Waheedul Haq, Sanjida Khatun and Zahidur Rahim at Chhayanaut in 1966 and later at Bulbul Academy of Fine Arts.[4][5] She was a student of the Department of Zoology at the University of Dhaka. In 1973, she received a scholarship from the Government of India to study Rabindra Sangeet at Visva-Bharati University in Santiniketan. In Visva-Bharati University, she was trained in classical music under Dhrubotara Joshi and in Rabindra Sangeet under Santidev Ghosh, Subinoy Roy, Kanika Banerjee and Nilima Sen.[4]"
"{'column_header': ['born', 'spouse', 'profession'], 'row_number': [1, 1, 1], 'content': ['(1943-02-06) 6 February 1943 (age\xa081)Smilets, Strelcha Municipality, Pazardzhik Province, Bulgaria', 'Donka Stamboliyska', 'journalist, television presenter']}",Ivan Garelov (Bulgarian: Иван Гарелов) (born 6 February 1943) is a popular Bulgarian journalist and television presenter.
"{'column_header': ['born', 'education', 'occupation', 'years\xa0active', 'children'], 'row_number': [1, 1, 1, 1, 1], 'content': ['(1960-09-08) 8 September 1960 (age\xa063)Lahore, Pakistan', 'University of Lahore', 'Actress', '1980–present', '2']}","Humaira was born on 8 September 1960 in Lahore, Pakistan.[3] She completed her studies from University of Lahore.[4]"
"{'column_header': ['born', 'occupation', 'years\xa0active', 'partner', 'children'], 'row_number': [1, 1, 1, 1, 1], 'content': ['Marcello Tolentino Novaes (1962-08-13) 13 August 1962 (age\xa061)Vitorino Freire, Maranhão, Brazil', 'Actor', '1988–present', 'Leticia Spiller (1995–2000)', '2']}","Marcello Tolentino Novaes (born 13 August 1962) is a Brazilian actor.[1]
Due to the success of his partnership with author Glória Perez, that begun in O Clone, he returned to act on a show by the author in 2005, but his character left unnoticed in América. The actor showed displeasure with the incident."
